price,marketing_budget,competition,category,timing,region,success
47145,158164,High,Electronics,Normal,Rural,0
21432,238027,Low,Food,Festival,Rural,1
1767,450877,High,Electronics,Normal,Urban,1
1354,12338,Low,Health,Festival,Urban,1
9071,177615,Medium,Clothing,Festival,Rural,0
23747,379496,Low,Clothing,Normal,Rural,1
47833,486008,Low,Health,Normal,Rural,1
40476,188628,Low,Clothing,Normal,Rural,0
20945,52934,High,Clothing,Normal,Urban,0
43030,240833,Medium,Food,Festival,Urban,1
47691,78575,Medium,Electronics,Festival,Urban,0
31716,174416,High,Clothing,Festival,Urban,0
15041,463894,Medium,Clothing,Normal,Rural,0
661,104481,High,Electronics,Festival,Urban,1
27766,456968,Medium,Clothing,Festival,Urban,1
11127,114632,Low,Electronics,Festival,Rural,1
38691,143202,High,Electronics,Festival,Urban,0
35163,377965,Low,Clothing,Normal,Urban,1
45042,453247,High,Electronics,Normal,Rural,0
11229,487261,Low,Health,Normal,Rural,1
